Feature,MI_Score,RF_Importance
cumulative_fatalities,1.586449162934604,0.07420458261126577
log_cumulative_fatalities,1.5834294183902866,0.05957981533973241
interaction,1.5047308997342326,0.047187179796198776
inter1,1.2346910817479342,0.04490353116630058
inter2,0.796508738578654,0.04273021565339872
disorder_type_Political violence,0.6636730591244677,0.05842824001207985
event_type_Riots,0.6214179154516479,0.05567811638903512
disorder_type_Demonstrations,0.5326800942863477,0.052739230254967524
event_type_Explosions/Remote violence,0.524774219998771,0.041176414326872635
lag1_log_cumulative_fatalities,0.4881780320523941,0.00685783499654217
event_type_Protests,0.4664382963798479,0.024079662215286072
actor1_Military Forces of Israel,0.4410053289426261,0.01703730834883672
lag1_log_days_since_start,0.4279717988992986,0.011010502790854491
days_since_start,0.4270508592435469,0.012874777184576153
log_days_since_start,0.42340449349292264,0.008885390059690532
event_type_Strategic developments,0.4225688723153538,0.015980920748481876
lag2_log_days_since_start,0.4175706769987988,0.008010267670340972
lag3_log_days_since_start,0.41702954418855187,0.009755867663892547
disorder_type_Strategic developments,0.41417475230512535,0.02106800679187888
lag2_log_cumulative_fatalities,0.3992823014285247,0.004936655284373036
actor2_Not specified,0.37942171277524217,0.023160898588885388
admin1_West Bank,0.37690938921036654,0.02790876399798758
rolling_avg_fatalities_7d,0.3701852104324477,0.006602494911839463
lag3_log_cumulative_fatalities,0.3693707473819079,0.005043096028996103
log_rolling_avg_fatalities_7d,0.3692453015445625,0.009110656699611747
admin1_Gaza Strip,0.3490825490217775,0.022675581452182392
actor1_Rioters (Palestine),0.3415936025959869,0.018526671509938718
actor2_Military Forces of Israel,0.32068145310921414,0.010330109003784109
event_type_Battles,0.31323786791110564,0.03968361426925365
log_cumulative_events,0.304712389412479,0.016644628176539764
cumulative_events,0.29559668341008694,0.016734939082717445
actor2_Civilians (Palestine),0.283860768209538,0.0126421964739138
civilian_targeting_Not specified,0.2594540282840141,0.012253010333212338
civilian_targeting_Civilian targeting,0.2575128533973974,0.013866969424536555
actor1_Protesters (Israel),0.24590173561998352,0.00875026059570706
event_type_Violence against civilians,0.20640323466223798,0.01955988995907323
country_Palestine,0.19707086492668013,0.006122386318119266
country_Israel,0.1876827560863168,0.006014345415699116
lag3_log_cumulative_events,0.18310138556749145,0.006619442918689643
lag2_log_cumulative_events,0.17300474966264634,0.006474537908131088
lag1_log_rolling_avg,0.15678250660748283,0.004246291793859496
year,0.1561400973937297,0.0021798973405724787
lag1_log_cumulative_events,0.14696196022748786,0.00697961134798252
log_fatalities,0.1310531798705954,0.004071416050962799
lag2_log_rolling_avg,0.1265710665002362,0.0032764303420158318
actor1_Rioters (Israel),0.12386374672949296,0.009503366595180108
fatalities,0.11972519338990795,0.004145906704185693
actor1_Protesters (Palestine),0.11760341187955081,0.0015419520250607088
lag3_log_rolling_avg,0.11083758388002929,0.0036993187362022012
month,0.09461563942493711,0.002161531131083213
actor1_Unidentified Armed Group (Palestine),0.08803919822676098,0.0026436961091531146
admin2_Khan Yunis,0.06598491299245657,0.0020254627603071814
actor2_Hamas Movement,0.06477414314513652,0.0016132345913504001
actor1_Hamas Movement,0.06054674193575371,0.0012770523964205627
admin2_Gaza City,0.05948630344228967,0.0016565367471490216
actor1_Settlers (Israel),0.054914005808011535,0.0029523520162046007
lag1_log_fatalities,0.05211593691779992,0.0022655872380338274
actor2_Police Forces of Israel,0.05074087283304207,0.0035836354350586913
admin2_North Gaza,0.048396118898817786,0.001279562205125466
admin2_Deir El Balah,0.046079064412244186,0.0008031407892026141
time_since_last_event,0.04593048297595281,0.0007364304656979143
admin2_Hebron,0.044473317097184495,0.0008022603179290112
admin2_Nablus,0.04398790768897598,0.0007683946314229744
admin1_HaDarom,0.04118453405247191,0.0009385815164360505
lag2_log_fatalities,0.03904627417478235,0.0020113511791835714
admin2_Al Quds,0.03570303678192843,0.0010177744521735325
lag3_log_fatalities,0.03504487886081842,0.001583151561915501
actor2_Civilians (Israel),0.0334466226488761,0.0016537988625574091
disorder_type_Political violence; Demonstrations,0.03222342024572544,0.0010097051144702537
